Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
100,process_0,0,8,8
100,process_1,5,7,2
100,process_2,10,11,1
100,process_3,15,22,7
100,process_4,20,27,7
100,process_5,25,30,5
100,process_6,30,37,7
100,process_7,35,39,4
100,process_8,40,49,9
100,process_9,45,47,2
100,process_10,50,58,8
100,process_11,55,58,3
100,process_12,60,65,5
100,process_13,65,66,1
100,process_14,70,75,5
100,process_15,75,84,9
100,process_16,80,81,1
100,process_17,85,94,9
100,process_18,90,93,3
100,process_19,95,97,2
100,process_20,100,106,6
100,process_21,105,113,8
100,process_22,110,116,6
100,process_23,115,120,5
100,process_24,120,122,2
100,process_25,125,126,1
100,process_26,130,133,3
100,process_27,135,142,7
100,process_28,140,148,8
100,process_29,145,151,6
100,process_30,150,153,3
100,process_31,155,161,6
100,process_32,160,167,7
100,process_33,165,167,2
100,process_34,170,171,1
100,process_35,175,182,7
100,process_36,180,183,3
100,process_37,185,194,9
100,process_38,190,197,7
100,process_39,195,204,9
100,process_40,200,205,5
100,process_41,205,207,2
100,process_42,210,219,9
100,process_43,215,223,8
100,process_44,220,222,2
100,process_45,225,234,9
100,process_46,230,237,7
100,process_47,235,236,1
100,process_48,240,248,8
100,process_49,245,248,3
100,process_50,250,259,9
100,process_51,255,260,5
100,process_52,260,265,5
100,process_53,265,272,7
100,process_54,270,273,3
100,process_55,275,281,6
100,process_56,280,283,3
100,process_57,285,290,5
100,process_58,290,294,4
100,process_59,295,303,8
100,process_60,300,303,3
100,process_61,305,307,2
100,process_62,310,316,6
100,process_63,315,318,3
100,process_64,320,327,7
100,process_65,325,328,3
100,process_66,330,338,8
100,process_67,335,340,5
100,process_68,340,347,7
100,process_69,345,353,8
100,process_70,350,352,2
100,process_71,355,360,5
100,process_72,360,362,2
100,process_73,365,371,6
100,process_74,370,377,7
100,process_75,375,383,8
100,process_76,380,388,8
100,process_77,385,391,6
100,process_78,390,394,4
100,process_79,395,402,7
100,process_80,400,404,4
100,process_81,405,413,8
100,process_82,410,412,2
100,process_83,415,418,3
100,process_84,420,422,2
100,process_85,425,429,4
100,process_86,430,436,6
100,process_87,435,437,2
100,process_88,440,445,5
100,process_89,445,453,8
100,process_90,450,459,9
100,process_91,455,457,2
100,process_92,460,462,2
100,process_93,465,468,3
100,process_94,470,476,6
100,process_95,475,480,5
100,process_96,480,488,8
100,process_97,485,490,5
100,process_98,490,492,2
100,process_99,495,500,5
