Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
200,process_0,0,8,8
200,process_0,0,3,3
200,process_1,1,7,6
200,process_1,1,3,2
200,process_2,2,9,7
200,process_2,2,10,8
200,process_3,3,4,1
200,process_3,3,12,9
200,process_4,4,11,7
200,process_4,4,9,5
200,process_5,5,13,8
200,process_5,5,7,2
200,process_6,6,10,4
200,process_6,6,8,2
200,process_7,7,14,7
200,process_7,7,12,5
200,process_8,8,13,5
200,process_8,8,12,4
200,process_9,9,16,7
200,process_9,9,15,6
200,process_10,10,13,3
200,process_10,10,16,6
200,process_11,11,15,4
200,process_11,11,19,8
200,process_12,12,15,3
200,process_12,12,15,3
200,process_13,13,19,6
200,process_13,13,20,7
200,process_14,14,18,4
200,process_14,14,15,1
200,process_15,15,18,3
200,process_15,15,23,8
200,process_16,16,20,4
200,process_16,16,23,7
200,process_17,17,18,1
200,process_17,17,23,6
200,process_18,18,19,1
200,process_18,18,24,6
200,process_19,19,27,8
200,process_19,19,23,4
200,process_20,20,23,3
200,process_20,20,22,2
200,process_21,21,30,9
200,process_21,21,27,6
200,process_22,22,23,1
200,process_22,22,28,6
200,process_23,23,29,6
200,process_23,23,31,8
200,process_24,24,28,4
200,process_24,24,25,1
200,process_25,25,29,4
200,process_25,25,31,6
200,process_26,26,29,3
200,process_26,26,29,3
200,process_27,27,34,7
200,process_27,27,33,6
200,process_28,28,35,7
200,process_28,28,33,5
200,process_29,29,34,5
200,process_29,29,34,5
200,process_30,30,37,7
200,process_30,30,32,2
200,process_31,31,37,6
200,process_31,31,38,7
200,process_32,32,40,8
200,process_32,32,36,4
200,process_33,33,36,3
200,process_33,33,36,3
200,process_34,34,39,5
200,process_34,34,39,5
200,process_35,35,40,5
200,process_35,35,43,8
200,process_36,36,42,6
200,process_36,36,37,1
200,process_37,37,43,6
200,process_37,37,43,6
200,process_38,38,39,1
200,process_38,38,39,1
200,process_39,39,42,3
200,process_39,39,43,4
200,process_40,40,45,5
200,process_40,40,47,7
200,process_41,41,50,9
200,process_41,41,49,8
200,process_42,42,49,7
200,process_42,42,44,2
200,process_43,43,51,8
200,process_43,43,50,7
200,process_44,44,50,6
200,process_44,44,48,4
200,process_45,45,52,7
200,process_45,45,50,5
200,process_46,46,54,8
200,process_46,46,53,7
200,process_47,47,56,9
200,process_47,47,54,7
200,process_48,48,55,7
200,process_48,48,54,6
200,process_49,49,50,1
200,process_49,49,56,7
200,process_50,50,51,1
200,process_50,50,56,6
200,process_51,51,56,5
200,process_51,51,56,5
200,process_52,52,61,9
200,process_52,52,60,8
200,process_53,53,56,3
200,process_53,53,54,1
200,process_54,54,62,8
200,process_54,54,58,4
200,process_55,55,60,5
200,process_55,55,61,6
200,process_56,56,61,5
200,process_56,56,62,6
200,process_57,57,64,7
200,process_57,57,58,1
200,process_58,58,64,6
200,process_58,58,60,2
200,process_59,59,66,7
200,process_59,59,68,9
200,process_60,60,64,4
200,process_60,60,67,7
200,process_61,61,65,4
200,process_61,61,69,8
200,process_62,62,69,7
200,process_62,62,70,8
200,process_63,63,69,6
200,process_63,63,69,6
200,process_64,64,70,6
200,process_64,64,70,6
200,process_65,65,67,2
200,process_65,65,73,8
200,process_66,66,72,6
200,process_66,66,75,9
200,process_67,67,75,8
200,process_67,67,71,4
200,process_68,68,74,6
200,process_68,68,69,1
200,process_69,69,77,8
200,process_69,69,71,2
200,process_70,70,75,5
200,process_70,70,75,5
200,process_71,71,76,5
200,process_71,71,74,3
200,process_72,72,78,6
200,process_72,72,77,5
200,process_73,73,74,1
200,process_73,73,75,2
200,process_74,74,75,1
200,process_74,74,82,8
200,process_75,75,83,8
200,process_75,75,83,8
200,process_76,76,80,4
200,process_76,76,83,7
200,process_77,77,79,2
200,process_77,77,82,5
200,process_78,78,80,2
200,process_78,78,85,7
200,process_79,79,88,9
200,process_79,79,83,4
200,process_80,80,83,3
200,process_80,80,88,8
200,process_81,81,89,8
200,process_81,81,90,9
200,process_82,82,85,3
200,process_82,82,90,8
200,process_83,83,84,1
200,process_83,83,84,1
200,process_84,84,90,6
200,process_84,84,89,5
200,process_85,85,91,6
200,process_85,85,91,6
200,process_86,86,87,1
200,process_86,86,89,3
200,process_87,87,96,9
200,process_87,87,91,4
200,process_88,88,95,7
200,process_88,88,93,5
200,process_89,89,92,3
200,process_89,89,91,2
200,process_90,90,94,4
200,process_90,90,91,1
200,process_91,91,99,8
200,process_91,91,99,8
200,process_92,92,93,1
200,process_92,92,96,4
200,process_93,93,96,3
200,process_93,93,101,8
200,process_94,94,97,3
200,process_94,94,96,2
200,process_95,95,103,8
200,process_95,95,99,4
200,process_96,96,102,6
200,process_96,96,102,6
200,process_97,97,106,9
200,process_97,97,105,8
200,process_98,98,101,3
200,process_98,98,106,8
200,process_99,99,108,9
200,process_99,99,108,9
