Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
100,process_0,0,1,1
100,process_0,0,4,4
100,process_1,1,7,6
100,process_1,1,4,3
100,process_2,2,6,4
100,process_2,2,10,8
100,process_3,3,10,7
100,process_3,3,7,4
100,process_4,4,13,9
100,process_4,4,7,3
100,process_5,5,6,1
100,process_5,5,10,5
100,process_6,6,8,2
100,process_6,6,15,9
100,process_7,7,14,7
100,process_7,7,12,5
100,process_8,8,13,5
100,process_8,8,14,6
100,process_9,9,10,1
100,process_9,9,15,6
100,process_10,10,18,8
100,process_10,10,17,7
100,process_11,11,16,5
100,process_11,11,16,5
100,process_12,12,14,2
100,process_12,12,18,6
100,process_13,13,18,5
100,process_13,13,20,7
100,process_14,14,20,6
100,process_14,14,19,5
100,process_15,15,21,6
100,process_15,15,17,2
100,process_16,16,17,1
100,process_16,16,25,9
100,process_17,17,19,2
100,process_17,17,22,5
100,process_18,18,23,5
100,process_18,18,21,3
100,process_19,19,28,9
100,process_19,19,22,3
100,process_20,20,22,2
100,process_20,20,23,3
100,process_21,21,24,3
100,process_21,21,30,9
100,process_22,22,27,5
100,process_22,22,23,1
100,process_23,23,28,5
100,process_23,23,27,4
100,process_24,24,25,1
100,process_24,24,31,7
100,process_25,25,28,3
100,process_25,25,29,4
100,process_26,26,27,1
100,process_26,26,32,6
100,process_27,27,30,3
100,process_27,27,30,3
100,process_28,28,35,7
100,process_28,28,33,5
100,process_29,29,30,1
100,process_29,29,33,4
100,process_30,30,32,2
100,process_30,30,33,3
100,process_31,31,37,6
100,process_31,31,37,6
100,process_32,32,33,1
100,process_32,32,40,8
100,process_33,33,39,6
100,process_33,33,37,4
100,process_34,34,39,5
100,process_34,34,41,7
100,process_35,35,44,9
100,process_35,35,42,7
100,process_36,36,44,8
100,process_36,36,38,2
100,process_37,37,39,2
100,process_37,37,45,8
100,process_38,38,39,1
100,process_38,38,46,8
100,process_39,39,47,8
100,process_39,39,40,1
100,process_40,40,47,7
100,process_40,40,47,7
100,process_41,41,47,6
100,process_41,41,42,1
100,process_42,42,44,2
100,process_42,42,43,1
100,process_43,43,44,1
100,process_43,43,50,7
100,process_44,44,51,7
100,process_44,44,46,2
100,process_45,45,53,8
100,process_45,45,50,5
100,process_46,46,49,3
100,process_46,46,54,8
100,process_47,47,56,9
100,process_47,47,53,6
100,process_48,48,56,8
100,process_48,48,51,3
100,process_49,49,51,2
100,process_49,49,53,4
